anchor,radiative_case,planet,T_K,T_C,escape_velocity_km_s,gas,molecular_mass_amu,jeans_lambda,retention_class
venus_hot,earth_effective_temperature,Earth-like,298.96727540650375,25.817275406503768,11.184982503114451,H2,2.016,50.73098695169282,retenção plausível
venus_hot,earth_effective_temperature,Earth-like,298.96727540650375,25.817275406503768,11.184982503114451,He,4.003,100.73221268235434,retenção plausível
venus_hot,earth_effective_temperature,Earth-like,298.96727540650375,25.817275406503768,11.184982503114451,CH4,16.04,403.63344777041306,retenção plausível
venus_hot,earth_effective_temperature,Earth-like,298.96727540650375,25.817275406503768,11.184982503114451,NH3,17.03,428.5459860056194,retenção plausível
venus_hot,earth_effective_temperature,Earth-like,298.96727540650375,25.817275406503768,11.184982503114451,H2O,18.015,453.3327033406479,retenção plausível
venus_hot,earth_effective_temperature,Earth-like,298.96727540650375,25.817275406503768,11.184982503114451,N2,28.014,704.9493395162314,retenção plausível
venus_hot,earth_effective_temperature,Earth-like,298.96727540650375,25.817275406503768,11.184982503114451,CO,28.01,704.8486827960892,retenção plausível
venus_hot,earth_effective_temperature,Earth-like,298.96727540650375,25.817275406503768,11.184982503114451,O2,31.998,805.20343277791,retenção plausível
venus_hot,earth_effective_temperature,Earth-like,298.96727540650375,25.817275406503768,11.184982503114451,H2S,34.08,857.5952556119498,retenção plausível
venus_hot,earth_effective_temperature,Earth-like,298.96727540650375,25.817275406503768,11.184982503114451,CO2,44.01,1107.4755633650798,retenção plausível
venus_hot,earth_effective_temperature,Earth-like,298.96727540650375,25.817275406503768,11.184982503114451,SO2,64.07,1612.2690148784516,retenção plausível
venus_hot,earth_surface_greenhouse_effective,Earth-like,338.2915849824837,65.14158498248372,11.184982503114451,H2,2.016,44.83382271662423,retenção plausível
venus_hot,earth_surface_greenhouse_effective,Earth-like,338.2915849824837,65.14158498248372,11.184982503114451,He,4.003,89.02271445170973,retenção plausível
venus_hot,earth_surface_greenhouse_effective,Earth-like,338.2915849824837,65.14158498248372,11.184982503114451,CH4,16.04,356.71354978901417,retenção plausível
venus_hot,earth_surface_greenhouse_effective,Earth-like,338.2915849824837,65.14158498248372,11.184982503114451,NH3,17.03,378.73015915878506,retenção plausível
venus_hot,earth_surface_greenhouse_effective,Earth-like,338.2915849824837,65.14158498248372,11.184982503114451,H2O,18.015,400.6355735317389,retenção plausível
venus_hot,earth_surface_greenhouse_effective,Earth-like,338.2915849824837,65.14158498248372,11.184982503114451,N2,28.014,623.0033281664242,retenção plausível
venus_hot,earth_surface_greenhouse_effective,Earth-like,338.2915849824837,65.14158498248372,11.184982503114451,CO,28.01,622.9143721689707,retenção plausível
venus_hot,earth_surface_greenhouse_effective,Earth-like,338.2915849824837,65.14158498248372,11.184982503114451,O2,31.998,711.6035016302292,retenção plausível
venus_hot,earth_surface_greenhouse_effective,Earth-like,338.2915849824837,65.14158498248372,11.184982503114451,H2S,34.08,757.905098304838,retenção plausível
venus_hot,earth_surface_greenhouse_effective,Earth-like,338.2915849824837,65.14158498248372,11.184982503114451,CO2,44.01,978.7383619834486,retenção plausível
venus_hot,earth_surface_greenhouse_effective,Earth-like,338.2915849824837,65.14158498248372,11.184982503114451,SO2,64.07,1424.8526892133502,retenção plausível
venus_hot,mars_like_radiative_case,Mars-like,308.75798677436813,35.60798677436816,5.027887186236593,H2,2.016,9.926112557580664,improvável reter
venus_hot,mars_like_radiative_case,Mars-like,308.75798677436813,35.60798677436816,5.027887186236593,He,4.003,19.709438773807243,retenção frágil
venus_hot,mars_like_radiative_case,Mars-like,308.75798677436813,35.60798677436816,5.027887186236593,CH4,16.04,78.97561776963978,retenção plausível
venus_hot,mars_like_radiative_case,Mars-like,308.75798677436813,35.60798677436816,5.027887186236593,NH3,17.03,83.85004804345174,retenção plausível
venus_hot,mars_like_radiative_case,Mars-like,308.75798677436813,35.60798677436816,5.027887186236593,H2O,18.015,88.69985998254745,retenção plausível
venus_hot,mars_like_radiative_case,Mars-like,308.75798677436813,35.60798677436816,5.027887186236593,N2,28.014,137.93160574804796,retenção plausível
venus_hot,mars_like_radiative_case,Mars-like,308.75798677436813,35.60798677436816,5.027887186236593,CO,28.01,137.911911080275,retenção plausível
