anchor,radiative_case,planet,T_K,T_C,escape_velocity_km_s,phi_flux_W_m2,planet_gravity_m_s2,candidate_atmosphere,candidate_priority,mixture_name,mole_fractions,surface_pressure_bar,mean_molar_mass_g_mol,cp_mix_J_mol_K,column_density_mol_m2,albedo_assumed,emissivity_assumed,mixture_notes,redistribution_factor_atm,T_eq_atm_K,T_eq_atm_C,climate_classification,column_heat_capacity_J_m2_K,radiative_timescale_seconds,radiative_timescale_days,radiative_timescale_years
mars_cold,venus_greenhouse_effective,Venus-like,469.8643663935213,196.7143663935213,10.360937957550536,589.0,8.868889239938161,sulfur_volcanic,média,sulfur_volcanic,"{'CO2': 0.8, 'N2': 0.15, 'H2O': 0.03, 'SO2': 0.01, 'H2S': 0.01}",1.0,40.93205,35.8379,275465.5370365199,0.4,0.8,Atmosfera secundária vulcânica/sulfurada.,4.0,210.07588778506047,-63.074112214939504,muito frio,9872106.369761096,5868397.0286817,67.9212619060382,0.1859582803724523
venus_hot,Blackbody Ideal,Earth-like,327.55466272083544,54.40466272083546,11.184982503114451,2611.0,9.819767158161415,N2_CO2_H2O,alta,N2_CO2_H2O_baseline,"{'N2': 0.9, 'CO2': 0.09, 'H2O': 0.01}",1.0,29.35365,29.8864,346925.8797713749,0.3,0.85,"Atmosfera secundária de alto peso molecular, baseline rochoso/water world.",4.0,312.03518272885333,38.88518272885335,quente/marginal,10368365.61319922,1770145.460805481,20.487794685248623,0.05609252480560883
venus_hot,Blackbody Ideal,Earth-like,327.55466272083544,54.40466272083546,11.184982503114451,2611.0,9.819767158161415,CO2_N2_H2O,alta,CO2_dominated,"{'CO2': 0.9, 'N2': 0.09, 'H2O': 0.01}",2.0,42.31041,36.3826,481372.8276682272,0.35,0.75,"Atmosfera CO2-dominante por outgassing, efeito estufa mais forte.",4.0,316.0434611165026,42.893461116502635,quente/marginal,17513595.03992204,3261383.609586527,37.747495481325544,0.10334701021581258
venus_hot,Blackbody Ideal,Earth-like,327.55466272083544,54.40466272083546,11.184982503114451,2611.0,9.819767158161415,N2_CO2_CH4_H2O,alta,reducing_CH4,"{'N2': 0.84, 'CO2': 0.1, 'CH4': 0.05, 'H2O': 0.01}",1.0,28.91491,30.2951,352189.95496617554,0.25,0.8,Atmosfera redutora tipo Terra arqueana simplificada.,4.0,322.31209650471794,49.162096504717965,quente/marginal,10669629.904695785,1756134.7036956116,20.325633144625133,0.05564855070397025
venus_hot,Blackbody Ideal,Earth-like,327.55466272083544,54.40466272083546,11.184982503114451,2611.0,9.819767158161415,sulfur_volcanic,média,sulfur_volcanic,"{'CO2': 0.8, 'N2': 0.15, 'H2O': 0.03, 'SO2': 0.01, 'H2S': 0.01}",1.0,40.93205,35.8379,248791.37132762757,0.4,0.8,Atmosfera secundária vulcânica/sulfurada.,4.0,304.8239607495588,31.67396074955883,temperado,8916160.286502384,1734877.6287562733,20.07960218467909,0.0549749546466231
venus_hot,earth_effective_temperature,Earth-like,298.96727540650375,25.817275406503768,11.184982503114451,2611.0,9.819767158161415,N2_CO2_H2O,alta,N2_CO2_H2O_baseline,"{'N2': 0.9, 'CO2': 0.09, 'H2O': 0.01}",1.0,29.35365,29.8864,346925.8797713749,0.3,0.85,"Atmosfera secundária de alto peso molecular, baseline rochoso/water world.",4.0,312.03518272885333,38.88518272885335,quente/marginal,10368365.61319922,1770145.460805481,20.487794685248623,0.05609252480560883
venus_hot,earth_effective_temperature,Earth-like,298.96727540650375,25.817275406503768,11.184982503114451,2611.0,9.819767158161415,CO2_N2_H2O,alta,CO2_dominated,"{'CO2': 0.9, 'N2': 0.09, 'H2O': 0.01}",2.0,42.31041,36.3826,481372.8276682272,0.35,0.75,"Atmosfera CO2-dominante por outgassing, efeito estufa mais forte.",4.0,316.0434611165026,42.893461116502635,quente/marginal,17513595.03992204,3261383.609586527,37.747495481325544,0.10334701021581258
venus_hot,earth_effective_temperature,Earth-like,298.96727540650375,25.817275406503768,11.184982503114451,2611.0,9.819767158161415,N2_CO2_CH4_H2O,alta,reducing_CH4,"{'N2': 0.84, 'CO2': 0.1, 'CH4': 0.05, 'H2O': 0.01}",1.0,28.91491,30.2951,352189.95496617554,0.25,0.8,Atmosfera redutora tipo Terra arqueana simplificada.,4.0,322.31209650471794,49.162096504717965,quente/marginal,10669629.904695785,1756134.7036956116,20.325633144625133,0.05564855070397025
venus_hot,earth_effective_temperature,Earth-like,298.96727540650375,25.817275406503768,11.184982503114451,2611.0,9.819767158161415,sulfur_volcanic,média,sulfur_volcanic,"{'CO2': 0.8, 'N2': 0.15, 'H2O': 0.03, 'SO2': 0.01, 'H2S': 0.01}",1.0,40.93205,35.8379,248791.37132762757,0.4,0.8,Atmosfera secundária vulcânica/sulfurada.,4.0,304.8239607495588,31.67396074955883,temperado,8916160.286502384,1734877.6287562733,20.07960218467909,0.0549749546466231
venus_hot,earth_surface_greenhouse_effective,Earth-like,338.2915849824837,65.14158498248372,11.184982503114451,2611.0,9.819767158161415,N2_CO2_H2O,alta,N2_CO2_H2O_baseline,"{'N2': 0.9, 'CO2': 0.09, 'H2O': 0.01}",1.0,29.35365,29.8864,346925.8797713749,0.3,0.85,"Atmosfera secundária de alto peso molecular, baseline rochoso/water world.",4.0,312.03518272885333,38.88518272885335,quente/marginal,10368365.61319922,1770145.460805481,20.487794685248623,0.05609252480560883
